Volatility 3 Framework 2.27.0
             |   PID | PPID |  ImageFileName |      Offset(V) | Threads | Handles | SessionId | Wow64 |                     CreateTime |                       ExitTime |                                                                                                                                  Audit |                                                                                                                                                                                                                                                          Cmd |                                                                                                    Path
****         |  6440 | 8200 |   winlogon.exe | 0x8c88b60e0580 |       2 |       - |         3 | False | 2018-08-31 14:52:31.000000 UTC |                            N/A |                                                                                  \Device\HarddiskVolume2\Windows\System32\winlogon.exe |                                                                                                                                                                                                                                                 winlogon.exe |                                                                        C:\WINDOWS\system32\winlogon.exe
*****        |  5560 | 6440 |    LogonUI.exe | 0x8c88b2ca6580 |      13 |       - |         3 | False | 2018-08-31 14:52:32.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\LogonUI.exe |                                                                                                                                                                                               "LogonUI.exe" /flags:0x0 /state0:0xa29c0055 /state1:0x41c64e6d |                                                                         C:\WINDOWS\system32\LogonUI.exe
*****        |  3424 | 6440 | fontdrvhost.ex | 0x8c88b5ce2580 |       5 |       - |         3 | False | 2018-08-31 14:52:32.000000 UTC |                            N/A |                                                                               \Device\HarddiskVolume2\Windows\System32\fontdrvhost.exe |                                                                                                                                                                                                                                            "fontdrvhost.exe" |                                                                     C:\WINDOWS\system32\fontdrvhost.exe
*****        |  2408 | 6440 |        dwm.exe | 0x8c88b5cd5580 |      12 |       - |         3 | False | 2018-08-31 14:52:32.000000 UTC |                            N/A |                                                                                       \Device\HarddiskVolume2\Windows\System32\dwm.exe |                                                                                                                                                                                                                                                    "dwm.exe" |                                                                             C:\WINDOWS\system32\dwm.exe
***          |   540 |  388 |       smss.exe | 0x8c88b1a55080 |       0 |       - |         0 | False | 2018-08-30 13:52:20.000000 UTC | 2018-08-30 13:52:20.000000 UTC |                                                                                      \Device\HarddiskVolume2\Windows\System32\smss.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
****         |   552 |  540 |      csrss.exe | 0x8c88b0794580 |      13 |       - |         0 | False | 2018-08-30 13:52:20.000000 UTC |                            N/A |                                                                                     \Device\HarddiskVolume2\Windows\System32\csrss.exe |         %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16 |                                                                           C:\WINDOWS\system32\csrss.exe
****         |   632 |  540 |    wininit.exe | 0x8c88b2b47080 |       1 |       - |         0 | False | 2018-08-30 13:52:20.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\wininit.exe |                                                                                                                                                                                                                                                  wininit.exe |                                                                         C:\WINDOWS\system32\wininit.exe
*****        |   900 |  632 | fontdrvhost.ex | 0x8c88b2bc5580 |       5 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                               \Device\HarddiskVolume2\Windows\System32\fontdrvhost.exe |                                                                                                                                                                                                                                            "fontdrvhost.exe" |                                                                     C:\WINDOWS\system32\fontdrvhost.exe
*****        |   740 |  632 |   services.exe | 0x8c88b2b9a580 |       6 |       - |         0 | False | 2018-08-30 13:52:20.000000 UTC |                            N/A |                                                                                  \Device\HarddiskVolume2\Windows\System32\services.exe |                                                                                                                                                                                                                             C:\WINDOWS\system32\services.exe |                                                                        C:\WINDOWS\system32\services.exe
******       |  1152 |  740 |    svchost.exe | 0x8c88b3036580 |      25 |       - |         0 | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                  C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  2176 |  740 |    HipMgmt.exe | 0x8c88b2ae1580 |      13 |       - |         0 |  True | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                               \Device\HarddiskVolume2\Program Files (x86)\McAfee\Host Intrusion Prevention\HipMgmt.exe |                                                                                                                                                                                        "C:\Program Files (x86)\McAfee\Host Intrusion Prevention\HipMgmt.exe" |                                     C:\Program Files (x86)\McAfee\Host Intrusion Prevention\HipMgmt.exe
******       |  2432 |  740 | ManagementAgen | 0x8c88b329f580 |       8 |       - |         0 | False | 2018-08-30 13:52:24.000000 UTC |                            N/A |                                   \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe |                                                                                                                                                                            "C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe" |                         C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe
******       |  9088 |  740 |    svchost.exe | 0x8c88af423580 |      12 |       - |         0 | False | 2018-08-30 13:55:00.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                         C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  2184 |  740 |      masvc.exe | 0x8c88b2ae3580 |       8 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                                           \Device\HarddiskVolume2\Program Files\McAfee\Agent\masvc.exe |                                                                                                                                                                                                      "C:\Program Files\McAfee\Agent\masvc.exe" /ServiceStart |                                                                 C:\Program Files\McAfee\Agent\masvc.exe
*******      |  3948 | 2184 |   mfemactl.exe | 0x8c88b421b580 |       6 |       - |         0 |  True | 2018-08-30 13:52:51.000000 UTC |                            N/A |                                                                    \Device\HarddiskVolume2\Program Files\McAfee\Agent\x86\mfemactl.exe | "C:\Program Files\McAfee\Agent\x86\\mfemactl.exe" --log "C:\ProgramData\McAfee\Agent\logs" --ppid 2184 --interface 4D454F57010000000000000000000000C000000000000046000000000500000078454986526A705C0E45E2DD14D7EC8C023800008808600F7FF7D2A44DDF7D3900000000  |                                                          C:\Program Files\McAfee\Agent\x86\mfemactl.exe
******       |   652 |  740 |    svchost.exe | 0x8c88b19b3580 |      31 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                            C:\WINDOWS\System32\svchost.exe -k NetworkService |                                                                         C:\WINDOWS\System32\svchost.exe
******       |  1040 |  740 |    spoolsv.exe | 0x8c88b28d8580 |      10 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\spoolsv.exe |                                                                                                                                                                                                                              C:\WINDOWS\System32\spoolsv.exe |                                                                         C:\WINDOWS\System32\spoolsv.exe
******       |  1812 |  740 |    svchost.exe | 0x8c88aeb15280 |       4 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                          C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p |                                                                         C:\WINDOWS\System32\svchost.exe
******       |  2196 |  740 |    FireSvc.exe | 0x8c88b2af3580 |      21 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                     \Device\HarddiskVolume2\Program Files\McAfee\Host Intrusion Prevention\FireSvc.exe |                                                                                                                                                                                              "C:\Program Files\McAfee\Host Intrusion Prevention\FireSvc.exe" |                                           C:\Program Files\McAfee\Host Intrusion Prevention\FireSvc.exe
*******      |  2572 | 2196 |   FireTray.exe | 0x8c88b214a580 |       0 |       - |         0 | False | 2018-08-30 13:52:26.000000 UTC | 2018-08-30 13:52:27.000000 UTC |                                                    \Device\HarddiskVolume2\Program Files\McAfee\Host Intrusion Prevention\FireTray.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
******       |  2204 |  740 |   VsTskMgr.exe | 0x8c88b2af6580 |      21 |       - |         0 |  True | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                   \Device\HarddiskVolume2\Program Files (x86)\McAfee\VirusScan Enterprise\VsTskMgr.exe |                                                                                                                                                                                            "C:\Program Files (x86)\McAfee\VirusScan Enterprise\VsTskMgr.exe" |                                         C:\Program Files (x86)\McAfee\VirusScan Enterprise\VsTskMgr.exe
*******      |  3232 | 2204 |     mfeann.exe | 0x8c88aece0580 |      17 |       - |         0 |  True | 2018-08-30 13:52:27.000000 UTC |                            N/A |                                                     \Device\HarddiskVolume2\Program Files (x86)\McAfee\VirusScan Enterprise\mfeann.exe |                                                                                                                                                                                              "C:\Program Files (x86)\McAfee\VirusScan Enterprise\mfeann.exe" |                                           C:\Program Files (x86)\McAfee\VirusScan Enterprise\mfeann.exe
********     |  3248 | 3232 |    conhost.exe | 0x8c88aecfc580 |       4 |       - |         0 | False | 2018-08-30 13:52:27.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\conhost.exe |                                                                                                                                                                                                                      \??\C:\WINDOWS\system32\conhost.exe 0x4 |                                                                         C:\WINDOWS\system32\conhost.exe
******       |  1696 |  740 |    svchost.exe | 0x8c88aeb1f580 |      16 |       - |         0 | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                                   C:\WINDOWS\system32\svchost.exe -k netsvcs |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  1064 |  740 |    svchost.exe | 0x8c88b19e0580 |      20 |       - |         0 | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                           C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p |                                                                         C:\WINDOWS\System32\svchost.exe
*******      |  5832 | 1064 |     ctfmon.exe | 0x8c88af6bf080 |       7 |       - |         1 | False | 2018-08-30 13:53:42.000000 UTC |                            N/A |                                                                                    \Device\HarddiskVolume2\Windows\System32\ctfmon.exe |                                                                                                                                                                                                                                                 "ctfmon.exe" |                                                                          C:\WINDOWS\system32\ctfmon.exe
******       |  6952 |  740 |   WmiApSrv.exe | 0x8c88b7173080 |       5 |       - |         0 | False | 2018-09-06 18:56:15.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\wbem\WmiApSrv.exe |                                                                                                                                                                                                                        C:\WINDOWS\system32\wbem\WmiApSrv.exe |                                                                   C:\WINDOWS\system32\wbem\WmiApSrv.exe
******       |   556 |  740 |    svchost.exe | 0x8c88b1881580 |      47 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                                C:\WINDOWS\system32\svchost.exe -k netsvcs -p |                                                                         C:\WINDOWS\system32\svchost.exe
*******      |  5544 |  556 |     sihost.exe | 0x8c88b1685580 |       9 |       - |         1 | False | 2018-08-30 13:53:41.000000 UTC |                            N/A |                                                                                    \Device\HarddiskVolume2\Windows\System32\sihost.exe |                                                                                                                                                                                                                                                   sihost.exe |                                                                          C:\WINDOWS\system32\sihost.exe
*******      |  5644 |  556 |  taskhostw.exe | 0x8c88aef55580 |       9 |       - |         1 | False | 2018-08-30 13:53:42.000000 UTC |                            N/A |                                                                                 \Device\HarddiskVolume2\Windows\System32\taskhostw.exe |                                                                                                                                                                                                         taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E} |                                                                       C:\WINDOWS\system32\taskhostw.exe
*******      |  7096 |  556 | officebackgrou | 0x8c88b1a94080 |       0 |       - |         1 |  True | 2018-08-30 13:53:55.000000 UTC | 2018-08-30 13:54:28.000000 UTC |                             \Device\HarddiskVolume2\Program Files (x86)\Microsoft Office\root\Office16\officebackgroundtaskhandler.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
******       |  3756 |  740 | macompatsvc.ex | 0x8c88b40b9580 |      14 |       - |         0 |  True | 2018-08-30 13:52:50.000000 UTC |                            N/A |                                                                 \Device\HarddiskVolume2\Program Files\McAfee\Agent\x86\macompatsvc.exe |                                                                                                                                                                                                          "C:\Program Files\McAfee\Agent\x86\macompatsvc.exe" |                                                       C:\Program Files\McAfee\Agent\x86\macompatsvc.exe
******       |  2860 |  740 | OfficeClickToR | 0x8c88b1c04580 |      16 |       - |         0 | False | 2018-08-30 13:53:20.000000 UTC |                            N/A |                                    \Device\HarddiskVolume2\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe |                                                                                                                                                                    "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service |                          C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe
*******      |  5252 | 2860 | AppVShNotify.e | 0x8c88b3518580 |       1 |       - |         0 | False | 2018-08-30 13:53:37.000000 UTC |                            N/A |                                        \Device\HarddiskVolume2\Program Files\Common Files\microsoft shared\ClickToRun\AppVShNotify.exe |                                                                                                                                                                                 "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe" |                              C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe
******       |  1072 |  740 |    svchost.exe | 0x8c88b19df580 |       4 |       - |         0 | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                              C:\WINDOWS\system32\svchost.exe -k LocalService |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  6192 |  740 |    svchost.exe | 0x8c88b6431580 |       4 |       - |         0 | False | 2018-08-31 14:52:44.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                                C:\WINDOWS\System32\svchost.exe -k netsvcs -p |                                                                         C:\WINDOWS\System32\svchost.exe
******       |   692 |  740 |    svchost.exe | 0x8c88b19cd080 |      34 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                           C:\WINDOWS\system32\svchost.exe -k LocalService -p |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  1844 |  740 |    svchost.exe | 0x8c88aeb1b180 |       7 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                          C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  2228 |  740 |   macmnsvc.exe | 0x8c88b3183580 |       2 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                                        \Device\HarddiskVolume2\Program Files\McAfee\Agent\macmnsvc.exe |                                                                                                                                                                                                   "C:\Program Files\McAfee\Agent\macmnsvc.exe" /ServiceStart |                                                              C:\Program Files\McAfee\Agent\macmnsvc.exe
******       |  1592 |  740 |    svchost.exe | 0x8c88aeb27580 |       6 |       - |         0 | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                          C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p |                                                                         C:\WINDOWS\System32\svchost.exe
******       |  2360 |  740 | SecurityHealth | 0x8c88b318e580 |       6 |       - |         0 | False | 2018-08-30 13:52:24.000000 UTC |                            N/A |                                                                     \Device\HarddiskVolume2\Windows\System32\SecurityHealthService.exe |                                                                                                                                                                                                                C:\WINDOWS\system32\SecurityHealthService.exe |                                                           C:\WINDOWS\system32\SecurityHealthService.exe
******       |  7236 |  740 | SearchIndexer. | 0x8c88b234f580 |      19 |       - |         0 | False | 2018-08-30 13:55:04.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\SearchIndexer.exe |                                                                                                                                                                                                             C:\WINDOWS\system32\SearchIndexer.exe /Embedding |                                                                   C:\WINDOWS\system32\SearchIndexer.exe
******       |  2248 |  740 |     mfemms.exe | 0x8c88b2aed080 |       8 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                        \Device\HarddiskVolume2\Program Files\Common Files\McAfee\SystemCore\mfemms.exe |                                                                                                                                                                                                 "C:\Program Files\Common Files\McAfee\SystemCore\mfemms.exe" |                                              C:\Program Files\Common Files\McAfee\SystemCore\mfemms.exe
*******      |  3584 | 2248 |    mfevtps.exe | 0x8c88b3ea3580 |       6 |       - |         0 | False | 2018-08-30 13:52:48.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\mfevtps.exe |                                                                                                                                                                                                                       "C:\WINDOWS\system32\mfevtps.exe" -mms |                                                                         C:\WINDOWS\system32\mfevtps.exe
*******      |  4064 | 2248 |     mfehcs.exe | 0x8c88b4242080 |      13 |       - |         0 | False | 2018-08-30 13:52:51.000000 UTC |                            N/A |                                                        \Device\HarddiskVolume2\Program Files\Common Files\McAfee\SystemCore\mfehcs.exe |                                                                                                                                                                                            "C:\Program Files\Common Files\McAfee\SystemCore\mfehcs.exe" -mms |                                              C:\Program Files\Common Files\McAfee\SystemCore\mfehcs.exe
*******      |  4016 | 2248 |    mfefire.exe | 0x8c88b42ca580 |       7 |       - |         0 | False | 2018-08-30 13:52:51.000000 UTC |                            N/A |                                                       \Device\HarddiskVolume2\Program Files\Common Files\McAfee\SystemCore\mfefire.exe |                                                                                                                                                                                           "C:\Program Files\Common Files\McAfee\SystemCore\mfefire.exe" -mms |                                             C:\Program Files\Common Files\McAfee\SystemCore\mfefire.exe
******       |  5576 |  740 |    svchost.exe | 0x8c88af624580 |      21 |       - |         1 | False | 2018-08-30 13:53:41.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                          C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  1096 |  740 | subject_srv.ex | 0x8c88b84e4080 |      11 |       - |         0 |  True | 2018-09-06 18:28:30.000000 UTC |                            N/A |                                                                                        \Device\HarddiskVolume2\Windows\subject_srv.exe |                                                                                                                                                 C:\windows\subject_srv.exe -s "base-hunt.shieldbase.lan:5682" -l 3262 -v "F-Response Subject" -k "155522845" |                                                                              C:\windows\subject_srv.exe
******       |  1100 |  740 |    svchost.exe | 0x8c88b301c4c0 |      25 |       - |         0 | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                         C:\WINDOWS\system32\svchost.exe -k NetworkService -p |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  1868 |  740 |    svchost.exe | 0x8c88b284c580 |       4 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                        C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p |                                                                         C:\WINDOWS\system32\svchost.exe
