Volatility 3 Framework 2.27.0

Offset	Name
0x8c88aec41ac0	\Windows\System32\ntasn1.dll
0x8c88aec42a30	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec468a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecc9920	\Windows\System32\winevt\Logs\Microsoft-Windows-Crypto-DPAPI%4BackUpKeySvc.evtx
0x8c88aecca5f0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeccc220	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeccc9a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecce4d0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeccf670	\Connect
0x8c88aecd1cc0	\Windows\System32\wmi.dll
0x8c88aecd4e80	\172.16.7.15\pipe\fhsvc-b378
0x8c88aecd55a0	\Windows\System32\winevt\Logs\Microsoft-Windows-RestartManager%4Operational.evtx
0x8c88aecd78f0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecd7b10	\Windows\SysWOW64\UIAnimation.dll
0x8c88aecd8630	\Windows\System32\AppResolver.dll
0x8c88aecd8ef0	\Server
0x8c88aecdcef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecde2a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecde5a0	\Windows\System32\cscapi.dll
0x8c88aece5220	\Windows\SysWOW64
0x8c88aece69a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aece8e10	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecec080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecee5a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecee8f0	\Windows\appcompat\Programs\Amcache.hve.LOG1
0x8c88aeceebd0	\CMApi
0x8c88aecf0ac0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecf2080	\Windows\System32\fveui.dll
0x8c88aecf25b0	\Windows\System32\sfc_os.dll
0x8c88aecf3af0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecf4960	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecf4ef0	\Windows\System32\twinui.appcore.dll
0x8c88aecf9830	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aecfc120	\Program Files\McAfee\Agent\x86\mfelpc.dll
0x8c88aecfd830	\Windows
0x8c88aecff080	\Program Files (x86)\McAfee\VirusScan Enterprise\condl.dll
0x8c88aecffab0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aed01cf0	\Endpoint
0x8c88aed030e0	\Windows\System32\en-US\crypt32.dll.mui
0x8c88aed04350	\Program Files (x86)\Common Files\McAfee\SystemCore\mfeavfa.dll
0x8c88aed05080	\Windows\System32\ConhostV2.dll
0x8c88aed052a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aed05ef0	\System Volume Information\{d840ed03-ac5b-11e8-a902-a2c6c7001600}{3808876b-c176-4e48-b7ae-04046e6cc752}
0x8c88aed07080	\$Directory
0x8c88aed07210	\Windows\Fonts\consola.ttf
0x8c88aed0aef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aed12610	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aed129b0	\$Secure:$SII:$INDEX_ALLOCATION
0x8c88aed13da0	\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0x8c88aed146e0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aed18400	\Windows\System32\StructuredQuery.dll
0x8c88aed18730	\Windows\System32\ngckeyenum.dll
0x8c88aed199c0	\Windows\System32\facecredentialprovider.dll
0x8c88aed1c280	\Endpoint
0x8c88aed1cef0	\Windows\System32\IKEEXT.DLL
0x8c88aee584d0	\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-Scheduled%4Operational.evtx
0x8c88aee5ccc0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee5d360	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee5dac0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee5fa40	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee61230	\Windows\SysWOW64\winrnr.dll
0x8c88aee61900	\$Directory
0x8c88aee61ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee62c90	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee632f0	\$Directory
0x8c88aee635f0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee637e0	\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.P521220ea#\cab0a9cb8d36e8be49527309483f5d13\Microsoft.PowerShell.Commands.Utility.ni.dll
0x8c88aee63ef0	\ma_5bd9fa52-9d71-e8fd-20b0-306ab91d3db1_6036.00E1BB48_456985045
0x8c88aee65390	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee65650	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee65ba0	\Windows\SysWOW64\wlidcredprov.dll
0x8c88aee65d60	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee66960	\Program Files (x86)\Microsoft Office\root\Licenses16\O365ProPlusEDUR_Subscription-pl.xrm-ms
0x8c88aee67080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee67210	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee67610	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee684d0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee689f0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee69160	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee69710	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee6a080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee6bb50	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee70080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee70580	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee70710	\Windows\SysWOW64\edgehtml.dll
0x8c88aee72bb0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee75080	\Windows\SysWOW64\adsldpc.dll
0x8c88aee75d00	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee777d0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee789b0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee79080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee7a2d0	\Users\tdungan\AppData\Local\Microsoft\OneDrive\settings\Business1\downloads3.txt
0x8c88aee7a460	\$Directory
0x8c88aee7db10	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee7f330	\$Directory
0x8c88aee7fac0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.16299.547_none_15cdd76c936033f5
0x8c88aee80900	\Windows\System32\dmwappushsvc.dll
0x8c88aee80ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee81700	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee819c0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee81cc0	\Windows\System32\fidocredprov.dll
0x8c88aee82080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee82d60	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee82ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee85b50	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee85d80	\Users\tdungan\AppData\Roaming\Dashlane\6.2.0.12026\bin\Qt\Qt5WebEngineCore.dll
0x8c88aee86b50	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee879b0	\Windows\SysWOW64\Windows.UI.Immersive.dll
0x8c88aee892d0	\Program Files (x86)\Microsoft Office\root\Office16\1033\UcAddinRes.dll
0x8c88aee8b610	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee8d7b0	\$Directory
0x8c88aee8e440	\kw_pipe_server_tdungan
0x8c88aee8e670	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee8f080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee92860	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee944f0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee95080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee95900	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee95ef0	\Windows\Fonts\malgun.ttf
0x8c88aee96870	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee98080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee98520	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee986f0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee99570	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee99e30	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9a320	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9a790	\Windows\System32\LocationFrameworkInternalPS.dll
0x8c88aee9a930	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9b900	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9bb30	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9bd00	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9c790	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9c920	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aee9f9f0	\Windows\System32\winevt\Logs\Microsoft-Windows-Audio%4CaptureMonitor.evtx
0x8c88aeea0700	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeea1080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeea1400	\Windows\Prefetch\WINLOGON.EXE-B020DC41.pf
0x8c88aeea2a60	\$Directory
0x8c88aeea3890	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeea3a20	\$Directory
0x8c88aeea3ef0	\Program Files\WindowsApps\Microsoft.WindowsStore_11807.1001.13.0_x64__8wekyb3d8bbwe\microsoft.system.package.metadata\S-1-5-21-3445421715-2530590580-3149308974-1116-MergedResources-4.pri
0x8c88aeea4cc0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeea54e0	\Windows\System32\BluetoothApis.dll
0x8c88aeea6930	\Windows\System32\SecurityHealthSSO.dll
0x8c88aeea8080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeea8df0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesX64\Microsoft Office\Office16\GROOVEEX.DLL
0x8c88aeeab590	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeadb90	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeafac0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeb0190	\Windows\System32\winevt\Logs\Microsoft-Windows-Security-LessPrivilegedAppContainer%4Operational.evtx
0x8c88aeeb0320	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeb1b90	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeb3ef0	\Windows\System32\shdocvw.dll
0x8c88aeeb4b50	\Windows\System32\en-US\winnlsres.dll.mui
0x8c88aeeb4e10	\Sessions\1\AppContainerNamedObjects\S-1-15-2-1861897761-1695161497-2927542615-642690995-327840285-2659745135-2630312742
0x8c88aeeb6180	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeb6a70	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeb6c00	\Windows\System32\PhoneutilRes.dll
0x8c88aeeb9d90	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeba310	\Windows\System32\drivers\cdfs.sys
0x8c88aeeba4a0	\$Directory
0x8c88aeebbef0	\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\RemindersUI.dll
0x8c88aeebc080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeebc250	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeebcef0	\Windows\System32\winevt\Logs\Microsoft-Windows-AppReadiness%4Operational.evtx
0x8c88aeebd320	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeebdd60	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeebeef0	\Windows\System32\edgeIso.dll
0x8c88aeec0ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeec1ef0	\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\Cortana.Search.winmd
0x8c88aeec2a60	\Program Files\McAfee\Agent\x86\McTrayLegacySupportPlugin32.dll
0x8c88aeec2cd0	\Dev\Query
0x8c88aeec4c20	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeec8de0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeec9ae0	\Users\tdungan\AppData\Local\Microsoft\OneDrive\18.131.0701.0007\amd64\FileSyncShell64.dll
0x8c88aeeca700	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeecaec0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeed3920	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeed3e40	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeed6ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeed7310	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeed7880	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeedaef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeedb8b0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeede080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeedfa80	\Windows\System32\Windows.Storage.ApplicationData.dll
0x8c88aeedfc10	\$Directory
0x8c88aeedfef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeee05a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeee1520	\Program Files (x86)\McAfee\VirusScan Enterprise\x64\wmain.dll
0x8c88aeee3cc0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeee45e0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeee4c80	\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Cortana_1.9.6.16299_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat
0x8c88aeee4e10	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeee53f0	\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE
0x8c88aeee56d0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeee5b50	\Users\tdungan\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\TempState\TileCache_100_0_Header.bin
0x8c88aeee8930	\Windows\System32\en-US\crypt32.dll.mui
0x8c88aeeeb4d0	\Windows\Fonts\msjh.ttc
0x8c88aeeeccf0	\Windows\System32\LicenseManager.dll
0x8c88aeeeeef0	\Users\tdungan\AppData\Local\Microsoft\OneDrive\18.131.0701.0007\RemoteAccess.dll
0x8c88aeef1570	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeef2c00	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeef3a20	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeef4ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeef5a50	\Windows\System32\rometadata.dll
0x8c88aeef6b00	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeef6cc0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeef6ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeefa080	\Windows\System32\hgcpl.dll
0x8c88aeefb080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeeffac0	\Windows\en-US\explorer.exe.mui
0x8c88aeeffcc0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef01910	\Windows\System32\Windows.System.Diagnostics.Telemetry.PlatformTelemetryClient.dll
0x8c88aef08a90	\Endpoint
0x8c88aef0aef0	\Program Files (x86)\Microsoft Office\root\Licenses16\O365SmallBusPremR_Subscription1-ul-oob.xrm-ms
0x8c88aef0db50	\CMNotify
0x8c88aef0e080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef0f610	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef10a40	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef11080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef11a60	\Windows\System32\en-US\KernelBase.dll.mui
0x8c88aef132e0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef142d0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef14740	\Windows\System32\WindowsPowerShell\v1.0\Modules\CimCmdlets\CimCmdlets.psd1
0x8c88aef18080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef19630	\$Directory
0x8c88aef197c0	\Users\spsql\Documents\20180830\PowerShell_transcript.BASE-RD-01.3IlbDbjb.20180830124337.txt
0x8c88aef19950	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef1cef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef1d710	\Input
0x8c88aef1e320	\Windows\System32
0x8c88aef20650	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef20d60	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef20ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef21620	\Windows\Fonts\msyh.ttc
0x8c88aef21ca0	\Windows\Fonts\seguisym.ttf
0x8c88aef21ef0	\Windows\System32\pcadm.dll
0x8c88aef23190	\Users\tdungan\AppData\Local\Temp\~DFD9D0C239A8154761.TMP
0x8c88aef23930	\Windows\System32\oleaccrc.dll
0x8c88aef23ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef24430	\Endpoint
0x8c88aef25d60	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.16299.547_none_15cdd76c936033f5
0x8c88aef25ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef27700	\Windows\System32\en-US\KernelBase.dll.mui
0x8c88aef2a320	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef2a760	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef2aef0	\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.16299.547_none_5d7b0e43a7dc5cfb
0x8c88aef2b700	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef2c700	\MsFteWds
0x8c88aef2dbe0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef2e700	\$Directory
0x8c88aef2e890	\Windows\System32\Windows.Shell.BlueLightReduction.dll
0x8c88aef2eaf0	\Windows\System32
0x8c88aef2f560	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef2f940	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef2fad0	\Windows\System32\ntshrui.dll
0x8c88aef32ef0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.16299.547_none_15cdd76c936033f5
0x8c88aef332d0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef33690	\$Directory
0x8c88aef34700	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef35080	\ProgramData\Microsoft\Windows\AppRepository\Microsoft.SkypeApp_12.1815.210.0_neutral_~_kzf8qxf38zg5c.xml
0x8c88aef352f0	\Windows\Fonts\segoeui.ttf
0x8c88aef368c0	\Windows\System32\SrEvents.dll
0x8c88aef36ef0	\Windows\System32\Windows.CloudStore.Schema.Shell.dll
0x8c88aef37080	\Windows\SysWOW64\d3d11.dll
0x8c88aef378e0	\Windows\WinSxS\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.9317_none_08e0939fa840d57b
0x8c88aef38320	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef38580	\Windows\System32\en-US\mswsock.dll.mui
0x8c88aef38920	\Program Files (x86)\Microsoft Office\root\Office16\MSIPC\it\msipc.dll.mui
0x8c88aef39ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef3a4d0	\Users\tdungan\AppData\Roaming\Dashlane\6.2.0.12026\bin\Firefox_Extension\{442718d9-475e-452a-b3e1-fb1ee16b8e9f}\components\KWUtils.6.2.0.12026.dll
0x8c88aef3a660	\Windows\SysWOW64\dwmapi.dll
0x8c88aef3aa60	\Windows\System32\en-US\oleaccrc.dll.mui
0x8c88aef3abf0	\Windows\Fonts\segmdl2.ttf
0x8c88aef3b920	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef3e410	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef3e860	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aef3f6d0	\Windows\Registration\R00000000000d.clb
